ensembl_gene_id	external_gene_name	description
ENSRNOG00000033395	Or5m3	olfactory receptor family 5 subfamily M member 3 [Source:RGD Symbol;Acc:1332991]
ENSRNOG00000070168	Or51f23c	olfactory receptor family 51 subfamily F member 23C [Source:RGD Symbol;Acc:1333218]
ENSRNOG00000070901	Irgq	immunity-related GTPase Q [Source:RGD Symbol;Acc:1309409]
ENSRNOG00000018029	Doc2g	double C2-like domains, gamma [Source:RGD Symbol;Acc:1307473]
ENSRNOG00000031391	Ceacam16	CEA cell adhesion molecule 16, tectorial membrane component [Source:RGD Symbol;Acc:1306386]
ENSRNOG00000055342	LOC120100214	U7 small nuclear RNA [Source:RGD Symbol;Acc:41277239]
ENSRNOG00000067904	LOC120100281	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41279059]
ENSRNOG00000063979	LOC120100116	U4 spliceosomal RNA [Source:RGD Symbol;Acc:41046890]
ENSRNOG00000050129	AABR07000137.1	NULL
ENSRNOG00000056886	Mir291b	microRNA 291b [Source:RGD Symbol;Acc:4888545]
ENSRNOG00000029996	Eef1a1l2	eukaryotic translation elongation factor 1 alpha 1 like 2 [Source:RGD Symbol;Acc:9202998]
ENSRNOG00000032625	Zfp108	zinc finger protein 108 [Source:RGD Symbol;Acc:1564214]
ENSRNOG00000029315	AC099294.1	SUMO specific peptidase 5 like 1 [Source:RGD Symbol;Acc:1582860]
ENSRNOG00000016356	Got1	glutamic-oxaloacetic transaminase 1 [Source:RGD Symbol;Acc:2721]
ENSRNOG00000028288	Clrn3	clarin 3 [Source:RGD Symbol;Acc:1305043]
ENSRNOG00000062643	Or4k42b	olfactory receptor family 4 subfamily K member 42B [Source:RGD Symbol;Acc:1333521]
ENSRNOG00000015810	Trip13	thyroid hormone receptor interactor 13 [Source:RGD Symbol;Acc:1308516]
ENSRNOG00000013596	Dimt1	DIM1 rRNA methyltransferase and ribosome maturation factor [Source:RGD Symbol;Acc:1311752]
ENSRNOG00000022863	Lingo4	leucine rich repeat and Ig domain containing 4 [Source:RGD Symbol;Acc:1562025]
ENSRNOG00000017538	Lrrc27	leucine rich repeat containing 27 [Source:RGD Symbol;Acc:1559981]
ENSRNOG00000009377	Nelfb	negative elongation factor complex member B [Source:RGD Symbol;Acc:1307832]
ENSRNOG00000010349	Ghrl	ghrelin and obestatin prepropeptide [Source:RGD Symbol;Acc:632283]
ENSRNOG00000027204	Map6	microtubule-associated protein 6 [Source:RGD Symbol;Acc:61804]
ENSRNOG00000058651	LOC120100452	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41072504]
ENSRNOG00000056005	LOC120100212	U7 small nuclear RNA [Source:RGD Symbol;Acc:40971154]
ENSRNOG00000035453	Mir3596c	microRNA 3596c [Source:RGD Symbol;Acc:4888580]
ENSRNOG00000063396	LOC120100238	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41321796]
ENSRNOG00000015499	Serinc4	serine incorporator 4 [Source:RGD Symbol;Acc:1566077]
ENSRNOG00000065199	Hoxa10	homeobox A10 [Source:RGD Symbol;Acc:9410935]
ENSRNOG00000069410	Or2ag2	olfactory receptor family 2 subfamily AG member 2 [Source:RGD Symbol;Acc:1332846]
ENSRNOG00000014903	Zfyve27	zinc finger FYVE-type containing 27 [Source:RGD Symbol;Acc:735177]
ENSRNOG00000055477	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSRNOG00000059537	LOC120100115	U4 spliceosomal RNA [Source:RGD Symbol;Acc:40939292]
ENSRNOG00000064304	Or5b107	olfactory receptor family 5 subfamily B member 107 [Source:RGD Symbol;Acc:1333423]
ENSRNOG00000035530	Mir192	microRNA 192 [Source:RGD Symbol;Acc:2325427]
ENSRNOG00000021051	Cyth2	cytohesin 2 [Source:RGD Symbol;Acc:620398]
